graph,minDFScode
305,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,3,1,sendawelcomepackinaletter,19,sendabankcardinaletter)(3,4,1,sendabankcardinaletter,20,sendapinnumberinaletter)(4,5,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
306,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)"
307,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)(2,3,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
308,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)(1,4,1,createanewbankaccount,6,sendapinnumberinaletter)(2,3,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
309,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)(1,3,1,createanewbankaccount,6,sendapinnumberinaletter)"
310,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)(1,3,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
311,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)(1,3,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,17,endprocess)"
312,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)(1,3,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,17,endprocess)(4,5,1,endprocess,18,anewbankaccountwascreated)"
313,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)(2,3,1,sendabankcardinaletter,16,endprocess)"
314,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)(2,3,1,sendabankcardinaletter,16,endprocess)(3,4,1,endprocess,18,anewbankaccountwascreated)"
315,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)(1,5,1,createanewbankaccount,6,sendapinnumberinaletter)(2,3,1,sendabankcardinaletter,16,endprocess)(3,4,1,endprocess,18,anewbankaccountwascreated)"
316,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,5,sendabankcardinaletter)(1,4,1,createanewbankaccount,6,sendapinnumberinaletter)(2,3,1,sendabankcardinaletter,16,endprocess)"
317,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,6,sendapinnumberinaletter)"
318,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,6,sendapinnumberinaletter)(2,3,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
319,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,6,sendapinnumberinaletter)(2,3,1,sendapinnumberinaletter,17,endprocess)"
320,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,6,sendapinnumberinaletter)(2,3,1,sendapinnumberinaletter,17,endprocess)(3,4,1,endprocess,18,anewbankaccountwascreated)"
321,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,21,sss)"
322,"(0,1,1,evaluatetheapplication,2,createanewbankaccount)(1,2,1,createanewbankaccount,21,sss)(2,3,1,sss,22,anewbankaccountwascreated)"
323,"(0,1,1,notifythecustomerbyemail,3,applicationrejected)"
324,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)"
325,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(1,2,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
326,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(0,3,1,createanewbankaccount,5,sendabankcardinaletter)(1,2,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
327,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(0,3,1,createanewbankaccount,5,sendabankcardinaletter)(0,4,1,createanewbankaccount,6,sendapinnumberinaletter)(1,2,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
328,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(0,3,1,createanewbankaccount,6,sendapinnumberinaletter)(1,2,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
329,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(0,2,1,createanewbankaccount,5,sendabankcardinaletter)"
330,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(0,2,1,createanewbankaccount,5,sendabankcardinaletter)(2,3,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
331,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(0,2,1,createanewbankaccount,5,sendabankcardinaletter)(0,4,1,createanewbankaccount,6,sendapinnumberinaletter)(2,3,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
332,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(0,2,1,createanewbankaccount,5,sendabankcardinaletter)(0,3,1,createanewbankaccount,6,sendapinnumberinaletter)"
333,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(0,2,1,createanewbankaccount,5,sendabankcardinaletter)(0,3,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
334,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(0,2,1,createanewbankaccount,6,sendapinnumberinaletter)"
335,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(0,2,1,createanewbankaccount,6,sendapinnumberinaletter)(2,3,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
336,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(1,2,1,sendawelcomepackinaletter,19,sendabankcardinaletter)"
337,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(1,2,1,sendawelcomepackinaletter,19,sendabankcardinaletter)(2,3,1,sendabankcardinaletter,20,sendapinnumberinaletter)"
338,"(0,1,1,createanewbankaccount,4,sendawelcomepackinaletter)(1,2,1,sendawelcomepackinaletter,19,sendabankcardinaletter)(2,3,1,sendabankcardinaletter,20,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
339,"(0,1,1,createanewbankaccount,5,sendabankcardinaletter)"
340,"(0,1,1,createanewbankaccount,5,sendabankcardinaletter)(1,2,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
341,"(0,1,1,createanewbankaccount,5,sendabankcardinaletter)(0,3,1,createanewbankaccount,6,sendapinnumberinaletter)(1,2,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
342,"(0,1,1,createanewbankaccount,5,sendabankcardinaletter)(0,2,1,createanewbankaccount,6,sendapinnumberinaletter)"
343,"(0,1,1,createanewbankaccount,5,sendabankcardinaletter)(0,2,1,createanewbankaccount,6,sendapinnumberinaletter)(2,3,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
344,"(0,1,1,createanewbankaccount,6,sendapinnumberinaletter)"
345,"(0,1,1,createanewbankaccount,6,sendapinnumberinaletter)(1,2,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
346,"(0,1,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
347,"(0,1,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
348,"(0,1,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
349,"(0,1,1,requestreceived,10,evaluaterequest)"
350,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)"
351,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(1,2,1,notifythecustomerbyemail,3,applicationrejected)"
352,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)"
353,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)"
354,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
355,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
356,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,5,sendabankcardinaletter)(3,7,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
357,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
358,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)"
359,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
360,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
361,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)"
362,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
363,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
364,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
365,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)"
366,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(4,5,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
367,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
368,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
369,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
370,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,6,sendapinnumberinaletter)"
371,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(3,4,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
372,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)"
373,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)"
374,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)"
375,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,6,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
376,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,7,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
377,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,7,1,createanewbankaccount,5,sendabankcardinaletter)(4,8,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
378,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
379,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)"
380,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(6,7,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
381,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,8,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
382,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)"
383,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(7,8,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
384,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)"
385,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
386,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)"
387,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
388,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
389,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)"
390,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
391,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
392,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
393,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)"
394,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)"
395,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)"
396,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(6,7,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
397,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,8,1,createanewbankaccount,5,sendabankcardinaletter)(6,7,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
398,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,8,1,createanewbankaccount,5,sendabankcardinaletter)(5,9,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
399,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,8,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
400,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,7,1,createanewbankaccount,5,sendabankcardinaletter)"
401,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,7,1,createanewbankaccount,5,sendabankcardinaletter)(7,8,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
402,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,7,1,createanewbankaccount,5,sendabankcardinaletter)(5,9,1,createanewbankaccount,6,sendapinnumberinaletter)(7,8,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
403,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,7,1,createanewbankaccount,5,sendabankcardinaletter)(5,8,1,createanewbankaccount,6,sendapinnumberinaletter)"
404,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,7,1,createanewbankaccount,5,sendabankcardinaletter)(5,8,1,createanewbankaccount,6,sendapinnumberinaletter)(8,9,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
405,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,7,1,createanewbankaccount,6,sendapinnumberinaletter)"
406,"(0,1,1,evaluaterequest,1,notifythecustomerbyemail)(0,3,1,evaluaterequest,11,acceptrequest)(0,4,1,evaluaterequest,12,rejectrequest)(1,2,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,rejectrequest,14,createanewbankaccount)(5,6,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,7,1,createanewbankaccount,6,sendapinnumberinaletter)(7,8,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
